cersei lannister, Season 1, Episode 1, 17
cersei lannister, Season 1, Episode 2, 19
cersei lannister, Season 1, Episode 3, 19
cersei lannister, Season 1, Episode 4, 7
cersei lannister, Season 1, Episode 5, 17
cersei lannister, Season 1, Episode 6, 8
cersei lannister, Season 1, Episode 7, 16
cersei lannister, Season 1, Episode 8, 12
cersei lannister, Season 1, Episode 9, 1
cersei lannister, Season 1, Episode 10, 1
cersei lannister, Season 2, Episode 1, 34
cersei lannister, Season 2, Episode 2, 19
cersei lannister, Season 2, Episode 3, 13
cersei lannister, Season 2, Episode 4, 0
cersei lannister, Season 2, Episode 5, 10
cersei lannister, Season 2, Episode 6, 1
cersei lannister, Season 2, Episode 7, 22
cersei lannister, Season 2, Episode 8, 20
cersei lannister, Season 2, Episode 9, 61
cersei lannister, Season 2, Episode 10, 1
cersei lannister, Season 3, Episode 1, 22
cersei lannister, Season 3, Episode 2, 9
cersei lannister, Season 3, Episode 3, 1
cersei lannister, Season 3, Episode 4, 0
cersei lannister, Season 3, Episode 5, 14
cersei lannister, Season 3, Episode 6, 9
cersei lannister, Season 3, Episode 7, 0
cersei lannister, Season 3, Episode 8, 12
cersei lannister, Season 3, Episode 9, 0
cersei lannister, Season 3, Episode 10, 15
cersei lannister, Season 4, Episode 1, 23
cersei lannister, Season 4, Episode 2, 27
cersei lannister, Season 4, Episode 3, 15
cersei lannister, Season 4, Episode 4, 10
cersei lannister, Season 4, Episode 5, 45
cersei lannister, Season 4, Episode 6, 8
cersei lannister, Season 4, Episode 7, 3
cersei lannister, Season 4, Episode 8, 0
cersei lannister, Season 4, Episode 9, 0
cersei lannister, Season 4, Episode 10, 30
cersei lannister, Season 5, Episode 1, 30
cersei lannister, Season 5, Episode 2, 27
cersei lannister, Season 5, Episode 3, 28
cersei lannister, Season 5, Episode 4, 20
